Author file,date
124_mat: rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,2020-01-30T13:09:02Z
125_Matthew Rollings: rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,2020-01-30T13:05:20Z
126_Matthew Rollings: rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java,2020-01-30T13:05:20Z
127_Matthew Rollings: rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,2020-01-30T13:05:03Z
128_Matthew Rollings: rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,2020-01-30T13:05:03Z
129_mat: rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,2020-01-28T14:06:12Z
130_mat: rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,2020-01-28T14:06:12Z
131_mat: rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,2020-01-28T13:03:18Z
132_mat: rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java,2020-01-28T13:03:18Z
133_mat: rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,2020-01-28T12:41:49Z
134_Ivan Vlasov: rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,2019-12-09T10:32:18Z
135_Ivan Vlasov: rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,2019-12-09T10:32:18Z
136_Daniel Kutik: app/src/androidTest/java/com/scottyab/rootbeer/ApplicationTest.java,2019-11-16T02:45:47Z
137_Daniel Kutik: rootbeerlib/src/androidTest/java/com/scottyab/rootbeer/ApplicationTest.java,2019-11-16T02:45:47Z
138_Daniel Kutik: app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,2019-11-16T02:39:54Z
139_Daniel Kutik: app/src/main/java/com/scottyab/rootbeer/sample/TextViewFont.java,2019-11-16T02:39:54Z
140_Daniel Kutik: app/src/main/res/layout/activity_main.xml,2019-11-16T02:39:54Z
141_Daniel Kutik: app/src/androidTest/java/com/scottyab/rootbeer/ApplicationTest.java,2019-11-16T02:34:24Z
142_Daniel Kutik: app/src/main/AndroidManifest.xml,2019-11-16T02:34:24Z
143_Daniel Kutik: app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,2019-11-16T02:34:24Z
144_Daniel Kutik: app/src/main/java/com/scottyab/rootbeer/sample/TextViewFont.java,2019-11-16T02:34:24Z
145_Daniel Kutik: app/src/main/res/layout/activity_main.xml,2019-11-16T02:34:24Z
146_Daniel Kutik: app/src/main/res/values/styles.xml,2019-11-16T02:34:24Z
147_Daniel Kutik: rootbeerlib/src/androidTest/java/com/scottyab/rootbeer/ApplicationTest.java,2019-11-16T02:34:24Z
148_Daniel Kutik: rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java,2019-11-16T02:34:24Z
149_Matthew Rollings: app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,2019-03-14T12:24:58Z
150_Matthew Rollings: rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,2019-03-14T12:24:58Z
151_Matthew Rollings: rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,2019-03-14T12:24:58Z
152_Matthew Rollings: rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,2019-03-14T12:24:58Z
153_Matthew Rollings: rootbeerlib/src/main/java/com/scottyab/rootbeer/util/Utils.java,2019-03-14T12:24:58Z
154_Matthew Rollings: rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java,2019-03-14T12:24:58Z
155_Matthew Rollings: rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,2018-06-14T15:53:38Z
156_Matthew Rollings: rootbeerlib/src/main/jni/Application.mk,2018-06-14T15:53:38Z
157_Matthew Rollings: rootbeerlib/src/main/jniLibs/arm64-v8a/libtool-checker.so,2018-06-14T15:53:38Z
158_Matthew Rollings: rootbeerlib/src/main/jniLibs/armeabi-v7a/libtool-checker.so,2018-06-14T15:53:38Z
159_Matthew Rollings: rootbeerlib/src/main/jniLibs/armeabi/libtool-checker.so,2018-06-14T15:53:38Z
160_Matthew Rollings: rootbeerlib/src/main/jniLibs/mips/libtool-checker.so,2018-06-14T15:53:38Z
161_Matthew Rollings: rootbeerlib/src/main/jniLibs/mips64/libtool-checker.so,2018-06-14T15:53:38Z
162_Matthew Rollings: rootbeerlib/src/main/jniLibs/x86/libtool-checker.so,2018-06-14T15:53:38Z
163_Matthew Rollings: rootbeerlib/src/main/jniLibs/x86_64/libtool-checker.so,2018-06-14T15:53:38Z
164_Matthew Rollings: rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java,2018-06-14T15:53:38Z
165_Matthew Rollings: rootbeerlib/src/main/jniLibs/arm64-v8a/libtool-checker.so,2018-05-11T16:01:52Z
